data_type	cell_type_id	mark_id	cell_type	mark/assay	accession	filename
training_data	C02	M01	adrenal_gland	ATAC-seq	ENCSR113MBR	C02M01.bigwig
training_data	C20	M01	heart_left_ventricle	ATAC-seq	ENCSR851EBF	C20M01.bigwig
training_data	C35	M01	omental_fat_pad	ATAC-seq	ENCSR788TRR	C35M01.bigwig
training_data	C45	M01	testis	ATAC-seq	ENCSR210NKB	C45M01.bigwig
training_data	C02	M02	adrenal_gland	DNase-seq	ENCSR191FOV	C02M02.bigwig
training_data	C05	M02	BE2C	DNase-seq	ENCSR000EMD	C05M02.bigwig
training_data	C06	M02	brain_microvascular_endothelial_cell	DNase-seq	ENCSR000ENE	C06M02.bigwig
training_data	C07	M02	Caco-2	DNase-seq	ENCSR000EMI	C07M02.bigwig
training_data	C08	M02	cardiac_fibroblast	DNase-seq	ENCSR000ENI	C08M02.bigwig
training_data	C11	M02	dermis_microvascular_lymphatic_vessel_endothelial_cell	DNase-seq	ENCSR000EOA	C11M02.bigwig
training_data	C15	M02	G401	DNase-seq	ENCSR269SIA	C15M02.bigwig
training_data	C16	M02	GM06990	DNase-seq	ENCSR000EMQ	C16M02.bigwig
training_data	C17	M02	H1-hESC	DNase-seq	ENCSR794OFW	C17M02.bigwig
training_data	C18	M02	H9	DNase-seq	ENCSR275ICP	C18M02.bigwig
training_data	C19	M02	HAP-1	DNase-seq	ENCSR620QNS	C19M02.bigwig
training_data	C20	M02	heart_left_ventricle	DNase-seq	ENCSR070CMW	C20M02.bigwig
training_data	C21	M02	hematopoietic_multipotent_progenitor_cell	DNase-seq	ENCSR328UMC	C21M02.bigwig
training_data	C22	M02	HL-60	DNase-seq	ENCSR000ENU	C22M02.bigwig
training_data	C23	M02	IMR-90	DNase-seq	ENCSR477RTP	C23M02.bigwig
training_data	C24	M02	K562	DNase-seq	ENCSR921NMD	C24M02.bigwig
training_data	C27	M02	mesenchymal_stem_cell	DNase-seq	ENCSR731QLJ	C27M02.bigwig
training_data	C28	M02	MG63	DNase-seq	ENCSR083STA	C28M02.bigwig
training_data	C30	M02	NCI-H460	DNase-seq	ENCSR000FJH	C30M02.bigwig
training_data	C32	M02	neural_stem_progenitor_cell	DNase-seq	ENCSR278FVO	C32M02.bigwig
training_data	C33	M02	occipital_lobe	DNase-seq	ENCSR859CZM	C33M02.bigwig
training_data	C35	M02	omental_fat_pad	DNase-seq	ENCSR244ZEJ	C35M02.bigwig
training_data	C39	M02	SJCRH30	DNase-seq	ENCSR700ILE	C39M02.bigwig
training_data	C40	M02	SJSA1	DNase-seq	ENCSR620WAR	C40M02.bigwig
training_data	C41	M02	SK-MEL-5	DNase-seq	ENCSR000FEK	C41M02.bigwig
training_data	C42	M02	skin_fibroblast	DNase-seq	ENCSR184LMY	C42M02.bigwig
training_data	C43	M02	skin_of_body	DNase-seq	ENCSR092OFK	C43M02.bigwig
training_data	C44	M02	T47D	DNase-seq	ENCSR000EQB	C44M02.bigwig
training_data	C45	M02	testis	DNase-seq	ENCSR978QUT	C45M02.bigwig
training_data	C46	M02	trophoblast_cell	DNase-seq	ENCSR179CDH	C46M02.bigwig
training_data	C47	M02	upper_lobe_of_left_lung	DNase-seq	ENCSR490JVQ	C47M02.bigwig
training_data	C48	M02	urinary_bladder	DNase-seq	ENCSR813CKU	C48M02.bigwig
training_data	C49	M02	uterus	DNase-seq	ENCSR237WJY	C49M02.bigwig
training_data	C51	M02	WERI-Rb-1	DNase-seq	ENCSR000EQL	C51M02.bigwig
training_data	C12	M03	DND-41	H2AFZ	ENCSR000AQV	C12M03.bigwig
training_data	C17	M03	H1-hESC	H2AFZ	ENCSR571IIS	C17M03.bigwig
training_data	C18	M03	H9	H2AFZ	ENCSR265EDV	C18M03.bigwig
training_data	C24	M03	K562	H2AFZ	ENCSR000APC	C24M03.bigwig
training_data	C25	M03	KMS-11	H2AFZ	ENCSR499RMZ	C25M03.bigwig
